FechaObservacion,Departamento,ValorObservado
2005-08-14,LA GUAJIRA,0.0
2005-08-14,MAGDALENA,3.5999999999999996
2005-08-15,ANTIOQUIA,0.0
2005-08-15,LA GUAJIRA,0.0
2005-08-15,MAGDALENA,4.5
2005-08-16,ANTIOQUIA,0.0
2005-08-16,LA GUAJIRA,0.1
2005-08-16,MAGDALENA,0.1
2005-08-17,ANTIOQUIA,0.0
2005-08-17,LA GUAJIRA,0.0
2005-08-17,MAGDALENA,19.100000000000012
2005-08-18,ANTIOQUIA,0.0
2005-08-18,LA GUAJIRA,0.0
2005-08-18,MAGDALENA,0.0
2005-08-19,ANTIOQUIA,0.0
2005-08-19,LA GUAJIRA,0.0
2005-08-19,MAGDALENA,0.0
2005-08-20,ANTIOQUIA,0.0
2005-08-20,LA GUAJIRA,0.0
2005-08-20,MAGDALENA,0.0
2005-08-21,ANTIOQUIA,0.0
2005-08-21,LA GUAJIRA,0.0
2005-08-21,MAGDALENA,0.1
2005-08-22,ANTIOQUIA,0.0
2005-08-22,LA GUAJIRA,0.0
2005-08-22,MAGDALENA,4.2
2005-08-23,ANTIOQUIA,0.0
2005-08-23,LA GUAJIRA,0.0
2005-08-23,MAGDALENA,0.0
2005-08-24,ANTIOQUIA,0.0
2005-08-24,LA GUAJIRA,0.0
2005-08-24,MAGDALENA,0.0
2005-08-25,ANTIOQUIA,0.0
2005-08-25,LA GUAJIRA,0.0
2005-08-25,MAGDALENA,5.299999999999999
2005-08-26,ANTIOQUIA,0.0
2005-08-26,LA GUAJIRA,0.0
2005-08-26,MAGDALENA,4.0
2005-08-27,ANTIOQUIA,0.0
2005-08-27,MAGDALENA,54.10000000000001
2005-08-28,ANTIOQUIA,0.0
2005-08-28,MAGDALENA,37.199999999999996
2005-08-29,ANTIOQUIA,0.0
2005-08-29,MAGDALENA,7.099999999999999
2005-08-30,ANTIOQUIA,0.0
2005-08-30,MAGDALENA,25.3
2005-08-31,ANTIOQUIA,0.0
2005-08-31,MAGDALENA,8.6
2005-09-01,ANTIOQUIA,0.0
2005-09-01,MAGDALENA,0.0
2005-09-02,ANTIOQUIA,5.3
2005-09-02,MAGDALENA,1.7000000000000002
2005-09-03,ANTIOQUIA,1.3000000000000003
2005-09-03,MAGDALENA,0.1
2005-09-04,ANTIOQUIA,0.0
2005-09-04,MAGDALENA,1.9999999999999998
2005-09-05,ANTIOQUIA,0.0
2005-09-05,MAGDALENA,0.0
2005-09-06,ANTIOQUIA,0.0
2005-09-06,MAGDALENA,0.0
2005-09-07,ANTIOQUIA,1.3
2005-09-07,MAGDALENA,2.7
2005-09-08,ANTIOQUIA,0.0
2005-09-08,MAGDALENA,3.0000000000000004
2005-09-09,ANTIOQUIA,0.0
2005-09-09,MAGDALENA,3.2
2005-09-10,ANTIOQUIA,0.0
2005-09-10,MAGDALENA,0.1
2005-09-11,ANTIOQUIA,0.0
2005-09-11,MAGDALENA,0.0
2005-09-12,ANTIOQUIA,0.0
2005-09-12,MAGDALENA,2.3
2005-09-13,ANTIOQUIA,0.0
2005-09-13,MAGDALENA,0.1
2005-09-14,ANTIOQUIA,0.0
2005-09-14,MAGDALENA,0.0
2005-09-15,ANTIOQUIA,0.7
2005-09-15,MAGDALENA,0.3
2005-09-16,ANTIOQUIA,0.0
2005-09-16,MAGDALENA,0.0
2005-09-17,ANTIOQUIA,0.0
2005-09-17,MAGDALENA,0.5
2005-09-18,MAGDALENA,0.1
2005-09-19,MAGDALENA,7.6
